ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  12:19:18
DATE:04/18/2025
TIME:12:19:18

CONDITIONS:

ID:	VDD	
UNIT:	SMU3	
MODE: STEP	
START:	10	
STOP:	4	
PNTS:	4	
STEP:	-2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	10	
STOP:	0	
PNTS:	51	
STEP:	-0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU4	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  12:19:18

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	IVDD	IVDD2	IVDD3	IVDD4
1.00000000E+001	9.25500000E-008	6.19650000E-003	1.23950000E-002	1.85360000E-002	-7.94770000E-004	-1.60350000E-005	-4.58140000E-007	-3.74800000E-009	9.95610000E+000	8.35200000E+000	6.69700000E+000	5.05100000E+000	7.58260000E-004	-6.18050000E-003	-1.23950000E-002	-1.85360000E-002
9.80000000E+000	4.96290000E-008	5.57800000E-003	1.17800000E-002	1.79200000E-002	-7.01100000E-004	-1.45500000E-005	-3.80650000E-007	-3.34090000E-009	9.95900000E+000	8.31690000E+000	6.66280000E+000	5.01490000E+000	6.99040000E-004	-5.56250000E-003	-1.17800000E-002	-1.79250000E-002
9.60000000E+000	2.43350000E-008	4.95910000E-003	1.11600000E-002	1.73100000E-002	-6.50610000E-004	-1.42500000E-005	-3.26400000E-007	-3.02440000E-009	9.96290000E+000	8.28170000E+000	6.62700000E+000	4.98000000E+000	6.48200000E-004	-4.94410000E-003	-1.11650000E-002	-1.73100000E-002
9.40000000E+000	7.12290000E-009	4.33950000E-003	1.05450000E-002	1.67000000E-002	-5.48000000E-004	-1.41850000E-005	-2.81390000E-007	-2.71750000E-009	9.96870000E+000	8.24710000E+000	6.59300000E+000	4.94480000E+000	5.46600000E-004	-4.32560000E-003	-1.05450000E-002	-1.67000000E-002
9.20000000E+000	2.07050000E-010	3.72050000E-003	9.92730000E-003	1.60850000E-002	-4.73950000E-004	-1.40600000E-005	-2.46600000E-007	-2.42700000E-009	9.97270000E+000	8.21190000E+000	6.55790000E+000	4.90990000E+000	4.73310000E-004	-3.70550000E-003	-9.92580000E-003	-1.60900000E-002
9.00000000E+000	5.09990000E-011	3.10050000E-003	9.30930000E-003	1.54700000E-002	-3.93000000E-004	-1.38700000E-005	-2.22350000E-007	-2.16600000E-009	9.97800000E+000	8.17680000E+000	6.52300000E+000	4.87500000E+000	3.92010000E-004	-3.08600000E-003	-9.30790000E-003	-1.54750000E-002
8.80000000E+000	4.28000000E-011	2.48050000E-003	8.69040000E-003	1.48550000E-002	-3.58250000E-004	-1.35600000E-005	-2.01850000E-007	-1.98000000E-009	9.98100000E+000	8.14210000E+000	6.48800000E+000	4.83890000E+000	3.57750000E-004	-2.46660000E-003	-8.68890000E-003	-1.48600000E-002
8.60000000E+000	6.45490000E-011	1.86150000E-003	8.07190000E-003	1.42450000E-002	-3.14700000E-004	-1.29900000E-005	-1.87150000E-007	-1.76040000E-009	9.98290000E+000	8.10690000E+000	6.45290000E+000	4.80400000E+000	3.14460000E-004	-1.84800000E-003	-8.07050000E-003	-1.42450000E-002
8.40000000E+000	-8.80000000E-012	1.24100000E-003	7.45250000E-003	1.36300000E-002	-2.81900000E-004	-1.22800000E-005	-1.77450000E-007	-1.60950000E-009	9.98490000E+000	8.07180000E+000	6.41890000E+000	4.76900000E+000	2.82200000E-004	-1.22900000E-003	-7.45150000E-003	-1.36300000E-002
8.20000000E+000	3.16000000E-011	6.21200000E-004	6.83310000E-003	1.30150000E-002	-2.58060000E-004	-1.13150000E-005	-1.63850000E-007	-1.49340000E-009	9.98580000E+000	8.03610000E+000	6.38280000E+000	4.73390000E+000	2.57910000E-004	-6.09610000E-004	-6.83210000E-003	-1.30150000E-002
