ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_UP_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  17:08:28
DATE:04/18/2025
TIME:17:08:28

CONDITIONS:

ID:	VDD	
UNIT:	SMU4	
MODE: STEP	
START:	1	
STOP:	5	
PNTS:	3	
STEP:	2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	21	
STEP:	0.25

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU3	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  17:08:28

VI0P	II0P	II0P2	II0P3	IVSS	IVSS2	IVSS3	VOUT	VOUT2	VOUT3	VVDD	VVDD2	VVDD3	IVDD	IVDD2	IVDD3
3.75000000E+000	3.28500000E-011	-3.54510000E-011	-1.84500000E-011	5.60000000E-012	-2.97750000E-008	-3.18050000E-005	9.99970000E-001	2.49790000E+000	4.55990000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	-2.45000000E-012	3.31950000E-008	3.17540000E-005
4.00000000E+000	-2.25500000E-011	-5.26990000E-011	-1.73000000E-011	-1.14000000E-011	-3.98960000E-008	-3.23600000E-005	9.99970000E-001	2.37400000E+000	3.79990000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.11500000E-011	4.00100000E-008	3.23600000E-005
4.25000000E+000	2.94010000E-011	-3.23490000E-011	3.13490000E-011	1.31500000E-011	-5.54350000E-008	-3.28350000E-005	9.99970000E-001	2.33090000E+000	3.15990000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	-2.65000000E-012	4.63750000E-008	3.28100000E-005
4.50000000E+000	-1.11500000E-011	8.20010000E-012	-2.40500000E-011	-1.82500000E-011	-1.37890000E-007	-3.31590000E-005	9.99970000E-001	1.48700000E+000	2.63990000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	1.04000000E-011	1.64700000E-007	3.32000000E-005
4.75000000E+000	7.35010000E-012	1.28500000E-011	2.71990000E-011	9.05010000E-012	-7.44980000E-008	-3.34790000E-005	9.98990000E-001	2.27500000E+000	2.25000000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	2.35000000E-012	6.45990000E-008	3.34790000E-005
5.00000000E+000	1.42500000E-011	4.03000000E-011	-4.84990000E-012	-9.74990000E-012	-1.43050000E-007	-3.37190000E-005	9.99970000E-001	1.97600000E+000	1.95000000E-001	1.00000000E+000	3.00000000E+000	5.00000000E+000	3.60000000E-012	1.23600000E-007	3.37190000E-005

TEST RESULTS:  NOT  04/18/2025  17:08:28


