ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:23:45
DATE:04/28/2025
TIME:15:23:45

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:23:45

IA	VK	IK	
1.74700000E-008	-1.00000000E+000	-1.75000000E-008	
1.65350000E-008	-9.60000000E-001	-1.65250000E-008	
1.57100000E-008	-9.20000000E-001	-1.55650000E-008	
1.47600000E-008	-8.80000000E-001	-1.47750000E-008	
1.38750000E-008	-8.40000000E-001	-1.38450000E-008	
1.30400000E-008	-8.00000000E-001	-1.29750000E-008	
1.21600000E-008	-7.60000000E-001	-1.21200000E-008	
1.14050000E-008	-7.20000000E-001	-1.13400000E-008	
1.05500000E-008	-6.80000000E-001	-1.05350000E-008	
9.84660000E-009	-6.40000000E-001	-9.92940000E-009	
9.09090000E-009	-6.00000000E-001	-9.14220000E-009	
8.36420000E-009	-5.60000000E-001	-8.40280000E-009	
7.67520000E-009	-5.20000000E-001	-7.67700000E-009	
6.95370000E-009	-4.80000000E-001	-6.99630000E-009	
6.32030000E-009	-4.40000000E-001	-6.32900000E-009	
5.58750000E-009	-4.00000000E-001	-5.62430000E-009	
5.00330000E-009	-3.60000000E-001	-5.00540000E-009	
4.32850000E-009	-3.20000000E-001	-4.34830000E-009	
3.74980000E-009	-2.80000000E-001	-3.77240000E-009	
3.16450000E-009	-2.40000000E-001	-3.16790000E-009	
2.57190000E-009	-2.00000000E-001	-2.60400000E-009	
2.06090000E-009	-1.60000000E-001	-2.03540000E-009	
1.46850000E-009	-1.20000000E-001	-1.50450000E-009	
1.00740000E-009	-8.00000000E-002	-1.00150000E-009	
4.95900000E-010	-4.00000000E-002	-4.72540000E-010	
-2.81990000E-011	0.00000000E+000	4.50000000E-012	
-4.42400000E-010	4.00000000E-002	4.81090000E-010	
-9.04750000E-010	8.00000000E-002	9.30560000E-010	
-1.36150000E-009	1.20000000E-001	1.37650000E-009	
-1.79350000E-009	1.60000000E-001	1.81940000E-009	
-2.21750000E-009	2.00000000E-001	2.21600000E-009	
-2.56740000E-009	2.40000000E-001	2.60990000E-009	
-2.99540000E-009	2.80000000E-001	2.99000000E-009	
-3.29290000E-009	3.20000000E-001	3.34390000E-009	
-3.68140000E-009	3.60000000E-001	3.68940000E-009	
-3.97590000E-009	4.00000000E-001	4.00590000E-009	
-4.29390000E-009	4.40000000E-001	4.33350000E-009	
-4.60640000E-009	4.80000000E-001	4.62140000E-009	
-4.85690000E-009	5.20000000E-001	4.91040000E-009	
-5.17180000E-009	5.60000000E-001	5.18440000E-009	
-5.36740000E-009	6.00000000E-001	5.43490000E-009	
-5.67480000E-009	6.40000000E-001	5.68890000E-009	
-5.86400000E-009	6.80000000E-001	5.91490000E-009	
-6.12040000E-009	7.20000000E-001	6.15480000E-009	
-6.34830000E-009	7.60000000E-001	6.37490000E-009	
-6.52500000E-009	8.00000000E-001	6.59340000E-009	
-6.77530000E-009	8.40000000E-001	6.78780000E-009	
-6.90490000E-009	8.80000000E-001	6.98430000E-009	
-7.15290000E-009	9.20000000E-001	7.17840000E-009	
-7.30480000E-009	9.60000000E-001	7.35190000E-009	
-7.48970000E-009	1.00000000E+000	7.54740000E-009	

TEST RESULTS:  RES  04/28/2025  15:23:45


