ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:06:33
DATE:04/28/2025
TIME:15:06:33

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:06:33

IA	VK	IK	
5.10950000E-008	-1.00000000E+000	-5.10300000E-008	
4.88340000E-008	-9.60000000E-001	-4.88510000E-008	
4.67610000E-008	-9.20000000E-001	-4.67610000E-008	
4.45510000E-008	-8.80000000E-001	-4.45910000E-008	
4.23150000E-008	-8.40000000E-001	-4.23010000E-008	
4.02050000E-008	-8.00000000E-001	-4.01300000E-008	
3.80350000E-008	-7.60000000E-001	-3.80640000E-008	
3.58250000E-008	-7.20000000E-001	-3.58400000E-008	
3.36460000E-008	-6.80000000E-001	-3.36490000E-008	
3.15650000E-008	-6.40000000E-001	-3.15100000E-008	
2.93500000E-008	-6.00000000E-001	-2.93450000E-008	
2.71950000E-008	-5.60000000E-001	-2.72150000E-008	
2.50350000E-008	-5.20000000E-001	-2.51250000E-008	
2.29000000E-008	-4.80000000E-001	-2.29450000E-008	
2.08950000E-008	-4.40000000E-001	-2.08700000E-008	
1.88100000E-008	-4.00000000E-001	-1.87500000E-008	
1.66500000E-008	-3.60000000E-001	-1.66550000E-008	
1.46050000E-008	-3.20000000E-001	-1.45800000E-008	
1.26300000E-008	-2.80000000E-001	-1.26100000E-008	
1.06050000E-008	-2.40000000E-001	-1.06900000E-008	
8.73340000E-009	-2.00000000E-001	-8.69840000E-009	
6.75230000E-009	-1.60000000E-001	-6.82030000E-009	
4.95380000E-009	-1.20000000E-001	-4.94540000E-009	
3.12140000E-009	-8.00000000E-002	-3.15950000E-009	
1.52540000E-009	-4.00000000E-002	-1.50500000E-009	
-7.70000000E-012	0.00000000E+000	1.24000000E-011	
-1.29150000E-009	4.00000000E-002	1.31650000E-009	
-2.38590000E-009	8.00000000E-002	2.38090000E-009	
-3.20190000E-009	1.20000000E-001	3.23640000E-009	
-3.96580000E-009	1.60000000E-001	3.95990000E-009	
-4.60790000E-009	2.00000000E-001	4.67890000E-009	
-5.50740000E-009	2.40000000E-001	5.52500000E-009	
-6.22980000E-009	2.80000000E-001	6.28350000E-009	
-7.01840000E-009	3.20000000E-001	7.06830000E-009	
-7.46600000E-009	3.60000000E-001	7.48920000E-009	
-8.27140000E-009	4.00000000E-001	8.30960000E-009	
-9.23140000E-009	4.40000000E-001	9.25320000E-009	
-1.00050000E-008	4.80000000E-001	1.01730000E-008	
-1.11650000E-008	5.20000000E-001	1.09300000E-008	
-1.17150000E-008	5.60000000E-001	1.18450000E-008	
-1.27300000E-008	6.00000000E-001	1.28200000E-008	
-1.38050000E-008	6.40000000E-001	1.37000000E-008	
-1.48050000E-008	6.80000000E-001	1.44450000E-008	
-1.52100000E-008	7.20000000E-001	1.53650000E-008	
-1.62100000E-008	7.60000000E-001	1.62150000E-008	
-1.67750000E-008	8.00000000E-001	1.68700000E-008	
-1.76500000E-008	8.40000000E-001	1.77550000E-008	
-1.86950000E-008	8.80000000E-001	1.87600000E-008	
-1.96350000E-008	9.20000000E-001	1.96450000E-008	
-2.06450000E-008	9.60000000E-001	2.07050000E-008	
-2.18250000E-008	1.00000000E+000	2.17400000E-008	

TEST RESULTS:  RES  04/28/2025  15:06:33


