ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:17:46
DATE:04/28/2025
TIME:15:17:46

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:17:46

IA	VK	IK	
1.87350000E-008	-1.00000000E+000	-1.84900000E-008	
1.74800000E-008	-9.60000000E-001	-1.76450000E-008	
1.67250000E-008	-9.20000000E-001	-1.65700000E-008	
1.60600000E-008	-8.80000000E-001	-1.58300000E-008	
1.50350000E-008	-8.40000000E-001	-1.50250000E-008	
1.44500000E-008	-8.00000000E-001	-1.44850000E-008	
1.36450000E-008	-7.60000000E-001	-1.35900000E-008	
1.28750000E-008	-7.20000000E-001	-1.28350000E-008	
1.21050000E-008	-6.80000000E-001	-1.21450000E-008	
1.13800000E-008	-6.40000000E-001	-1.13200000E-008	
1.06000000E-008	-6.00000000E-001	-1.05950000E-008	
9.88160000E-009	-5.60000000E-001	-9.84660000E-009	
9.09090000E-009	-5.20000000E-001	-9.13180000E-009	
8.31550000E-009	-4.80000000E-001	-8.30960000E-009	
7.49420000E-009	-4.40000000E-001	-7.55060000E-009	
6.87530000E-009	-4.00000000E-001	-6.90490000E-009	
6.05130000E-009	-3.60000000E-001	-6.09790000E-009	
5.45490000E-009	-3.20000000E-001	-5.45950000E-009	
4.62930000E-009	-2.80000000E-001	-4.67690000E-009	
4.01130000E-009	-2.40000000E-001	-3.98840000E-009	
3.31690000E-009	-2.00000000E-001	-3.32540000E-009	
2.63990000E-009	-1.60000000E-001	-2.66850000E-009	
2.01690000E-009	-1.20000000E-001	-2.00250000E-009	
1.30850000E-009	-8.00000000E-002	-1.35550000E-009	
7.16000000E-010	-4.00000000E-002	-6.92640000E-010	
2.49990000E-013	0.00000000E+000	-2.50000000E-012	
-7.04550000E-010	4.00000000E-002	6.92240000E-010	
-1.42550000E-009	8.00000000E-002	1.42350000E-009	
-2.18490000E-009	1.20000000E-001	2.20750000E-009	
-2.98440000E-009	1.60000000E-001	2.96640000E-009	
-3.77850000E-009	2.00000000E-001	3.82400000E-009	
-4.68050000E-009	2.40000000E-001	4.67690000E-009	
-5.50840000E-009	2.80000000E-001	5.56340000E-009	
-6.45830000E-009	3.20000000E-001	6.47580000E-009	
-7.41330000E-009	3.60000000E-001	7.45460000E-009	
-8.32730000E-009	4.00000000E-001	8.37690000E-009	
-9.28730000E-009	4.40000000E-001	9.30770000E-009	
-1.02610000E-008	4.80000000E-001	1.03250000E-008	
-1.12150000E-008	5.20000000E-001	1.11650000E-008	
-1.21100000E-008	5.60000000E-001	1.21500000E-008	
-1.30700000E-008	6.00000000E-001	1.30750000E-008	
-1.40050000E-008	6.40000000E-001	1.40000000E-008	
-1.49650000E-008	6.80000000E-001	1.49350000E-008	
-1.58350000E-008	7.20000000E-001	1.58750000E-008	
-1.68450000E-008	7.60000000E-001	1.68400000E-008	
-1.77000000E-008	8.00000000E-001	1.77250000E-008	
-1.85500000E-008	8.40000000E-001	1.85750000E-008	
-1.94750000E-008	8.80000000E-001	1.94350000E-008	
-2.01800000E-008	9.20000000E-001	2.02200000E-008	
-2.09100000E-008	9.60000000E-001	2.10500000E-008	
-2.18750000E-008	1.00000000E+000	2.18400000E-008	

TEST RESULTS:  RES  04/28/2025  15:17:46


