ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:22:53
DATE:04/28/2025
TIME:15:22:53

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:22:53

IA	VK	IK	
7.68750000E-009	-1.00000000E+000	-7.72570000E-009	
7.30440000E-009	-9.60000000E-001	-7.36620000E-009	
7.01680000E-009	-9.20000000E-001	-7.03420000E-009	
6.60130000E-009	-8.80000000E-001	-6.66550000E-009	
6.31190000E-009	-8.40000000E-001	-6.30530000E-009	
5.90130000E-009	-8.00000000E-001	-5.94130000E-009	
5.57880000E-009	-7.60000000E-001	-5.59500000E-009	
5.24390000E-009	-7.20000000E-001	-5.27140000E-009	
4.91790000E-009	-6.80000000E-001	-4.94700000E-009	
4.59930000E-009	-6.40000000E-001	-4.60000000E-009	
4.23190000E-009	-6.00000000E-001	-4.27940000E-009	
4.00250000E-009	-5.60000000E-001	-3.99250000E-009	
3.62890000E-009	-5.20000000E-001	-3.65940000E-009	
3.35440000E-009	-4.80000000E-001	-3.35890000E-009	
3.02790000E-009	-4.40000000E-001	-3.04900000E-009	
2.72140000E-009	-4.00000000E-001	-2.75500000E-009	
2.48890000E-009	-3.60000000E-001	-2.46850000E-009	
2.13200000E-009	-3.20000000E-001	-2.17290000E-009	
1.91100000E-009	-2.80000000E-001	-1.89990000E-009	
1.60390000E-009	-2.40000000E-001	-1.60750000E-009	
1.31600000E-009	-2.00000000E-001	-1.34100000E-009	
1.08450000E-009	-1.60000000E-001	-1.06300000E-009	
7.61250000E-010	-1.20000000E-001	-7.84690000E-010	
5.33160000E-010	-8.00000000E-002	-5.32000000E-010	
2.58850000E-010	-4.00000000E-002	-2.45510000E-010	
-1.59500000E-011	0.00000000E+000	1.15000000E-012	
-2.32700000E-010	4.00000000E-002	2.64750000E-010	
-5.45640000E-010	8.00000000E-002	5.20260000E-010	
-7.32290000E-010	1.20000000E-001	7.92940000E-010	
-9.94470000E-010	1.60000000E-001	1.00850000E-009	
-1.27700000E-009	2.00000000E-001	1.26850000E-009	
-1.48800000E-009	2.40000000E-001	1.49600000E-009	
-1.73700000E-009	2.80000000E-001	1.75340000E-009	
-1.98890000E-009	3.20000000E-001	1.97640000E-009	
-2.17200000E-009	3.60000000E-001	2.21600000E-009	
-2.45600000E-009	4.00000000E-001	2.44450000E-009	
-2.62450000E-009	4.40000000E-001	2.66590000E-009	
-2.90200000E-009	4.80000000E-001	2.89990000E-009	
-3.07240000E-009	5.20000000E-001	3.10090000E-009	
-3.30040000E-009	5.60000000E-001	3.32090000E-009	
-3.51690000E-009	6.00000000E-001	3.51540000E-009	
-3.67290000E-009	6.40000000E-001	3.72350000E-009	
-3.92400000E-009	6.80000000E-001	3.91830000E-009	
-4.05430000E-009	7.20000000E-001	4.10340000E-009	
-4.25990000E-009	7.60000000E-001	4.28730000E-009	
-4.45040000E-009	8.00000000E-001	4.45630000E-009	
-4.57300000E-009	8.40000000E-001	4.62800000E-009	
-4.79230000E-009	8.80000000E-001	4.79690000E-009	
-4.89740000E-009	9.20000000E-001	4.93950000E-009	
-5.07290000E-009	9.60000000E-001	5.10340000E-009	
-5.21100000E-009	1.00000000E+000	5.23190000E-009	

TEST RESULTS:  RES  04/28/2025  15:22:53


