ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:05:24
DATE:04/28/2025
TIME:15:05:24

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:05:24

IA	VK	IK	
4.43400000E-008	-1.00000000E+000	-4.56200000E-008	
4.20640000E-008	-9.60000000E-001	-4.25040000E-008	
4.18800000E-008	-9.20000000E-001	-4.22810000E-008	
3.89150000E-008	-8.80000000E-001	-3.88900000E-008	
3.73950000E-008	-8.40000000E-001	-3.74460000E-008	
3.46440000E-008	-8.00000000E-001	-3.49190000E-008	
3.36000000E-008	-7.60000000E-001	-3.38400000E-008	
3.22400000E-008	-7.20000000E-001	-3.19900000E-008	
2.97150000E-008	-6.80000000E-001	-3.03010000E-008	
2.83050000E-008	-6.40000000E-001	-2.79700000E-008	
2.72650000E-008	-6.00000000E-001	-2.73500000E-008	
2.54450000E-008	-5.60000000E-001	-2.52700000E-008	
2.30550000E-008	-5.20000000E-001	-2.32650000E-008	
2.23000000E-008	-4.80000000E-001	-2.15950000E-008	
1.98400000E-008	-4.40000000E-001	-2.00150000E-008	
1.77650000E-008	-4.00000000E-001	-1.79850000E-008	
1.64500000E-008	-3.60000000E-001	-1.63350000E-008	
1.49950000E-008	-3.20000000E-001	-1.48550000E-008	
1.35200000E-008	-2.80000000E-001	-1.40550000E-008	
1.25550000E-008	-2.40000000E-001	-1.26150000E-008	
1.09450000E-008	-2.00000000E-001	-1.09700000E-008	
9.07720000E-009	-1.60000000E-001	-9.10680000E-009	
7.38830000E-009	-1.20000000E-001	-7.42740000E-009	
5.05090000E-009	-8.00000000E-002	-5.10140000E-009	
2.59740000E-009	-4.00000000E-002	-2.59300000E-009	
1.07000000E-011	0.00000000E+000	-2.07490000E-011	
-2.28750000E-009	4.00000000E-002	2.28440000E-009	
-3.98340000E-009	8.00000000E-002	4.02000000E-009	
-5.58750000E-009	1.20000000E-001	5.55680000E-009	
-6.60340000E-009	1.60000000E-001	6.58930000E-009	
-7.59970000E-009	2.00000000E-001	7.63840000E-009	
-8.78570000E-009	2.40000000E-001	8.70520000E-009	
-9.96800000E-009	2.80000000E-001	9.94440000E-009	
-1.13850000E-008	3.20000000E-001	1.14200000E-008	
-1.29300000E-008	3.60000000E-001	1.29350000E-008	
-1.41250000E-008	4.00000000E-001	1.42200000E-008	
-1.56400000E-008	4.40000000E-001	1.54850000E-008	
-1.66150000E-008	4.80000000E-001	1.66800000E-008	
-1.82250000E-008	5.20000000E-001	1.82250000E-008	
-1.94900000E-008	5.60000000E-001	1.94250000E-008	
-2.03800000E-008	6.00000000E-001	2.06650000E-008	
-2.17700000E-008	6.40000000E-001	2.17900000E-008	
-2.36900000E-008	6.80000000E-001	2.35450000E-008	
-2.48650000E-008	7.20000000E-001	2.50200000E-008	
-2.64450000E-008	7.60000000E-001	2.69400000E-008	
-2.80250000E-008	8.00000000E-001	2.80550000E-008	
-2.99550000E-008	8.40000000E-001	2.97900000E-008	
-3.12450000E-008	8.80000000E-001	3.16050000E-008	
-3.35550000E-008	9.20000000E-001	3.32460000E-008	
-3.42840000E-008	9.60000000E-001	3.46440000E-008	
-3.63310000E-008	1.00000000E+000	3.65310000E-008	

TEST RESULTS:  RES  04/28/2025  15:05:24


