ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:20:53
DATE:04/28/2025
TIME:15:20:53

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:20:53

IA	VK	IK	
2.13300000E-008	-1.00000000E+000	-2.12200000E-008	
2.01450000E-008	-9.60000000E-001	-2.01800000E-008	
1.91600000E-008	-9.20000000E-001	-1.91650000E-008	
1.81600000E-008	-8.80000000E-001	-1.82200000E-008	
1.72400000E-008	-8.40000000E-001	-1.72450000E-008	
1.62650000E-008	-8.00000000E-001	-1.63350000E-008	
1.53650000E-008	-7.60000000E-001	-1.53650000E-008	
1.44500000E-008	-7.20000000E-001	-1.44600000E-008	
1.35200000E-008	-6.80000000E-001	-1.35100000E-008	
1.26250000E-008	-6.40000000E-001	-1.25850000E-008	
1.17150000E-008	-6.00000000E-001	-1.16750000E-008	
1.09250000E-008	-5.60000000E-001	-1.08350000E-008	
9.97210000E-009	-5.20000000E-001	-9.96990000E-009	
9.15090000E-009	-4.80000000E-001	-9.17090000E-009	
8.33100000E-009	-4.40000000E-001	-8.35830000E-009	
7.46600000E-009	-4.00000000E-001	-7.49650000E-009	
6.66640000E-009	-3.60000000E-001	-6.70480000E-009	
5.89330000E-009	-3.20000000E-001	-5.89030000E-009	
5.07430000E-009	-2.80000000E-001	-5.12090000E-009	
4.36030000E-009	-2.40000000E-001	-4.34740000E-009	
3.54640000E-009	-2.00000000E-001	-3.58400000E-009	
2.86440000E-009	-1.60000000E-001	-2.85840000E-009	
2.10050000E-009	-1.20000000E-001	-2.11950000E-009	
1.39750000E-009	-8.00000000E-002	-1.41490000E-009	
7.23110000E-010	-4.00000000E-002	-6.96500000E-010	
-2.03000000E-011	0.00000000E+000	-5.30000000E-012	
-6.41560000E-010	4.00000000E-002	6.62000000E-010	
-1.30500000E-009	8.00000000E-002	1.33640000E-009	
-2.00690000E-009	1.20000000E-001	1.99900000E-009	
-2.61190000E-009	1.60000000E-001	2.62550000E-009	
-3.24440000E-009	2.00000000E-001	3.26890000E-009	
-3.88450000E-009	2.40000000E-001	3.87900000E-009	
-4.44330000E-009	2.80000000E-001	4.49290000E-009	
-5.08130000E-009	3.20000000E-001	5.07930000E-009	
-5.59500000E-009	3.60000000E-001	5.65040000E-009	
-6.20340000E-009	4.00000000E-001	6.21530000E-009	
-6.70840000E-009	4.40000000E-001	6.74890000E-009	
-7.24090000E-009	4.80000000E-001	7.28640000E-009	
-7.78890000E-009	5.20000000E-001	7.79800000E-009	
-8.22360000E-009	5.60000000E-001	8.29730000E-009	
-8.77070000E-009	6.00000000E-001	8.78570000E-009	
-9.18000000E-009	6.40000000E-001	9.24040000E-009	
-9.64750000E-009	6.80000000E-001	9.69470000E-009	
-1.00820000E-008	7.20000000E-001	1.01210000E-008	
-1.05030000E-008	7.60000000E-001	1.05200000E-008	
-1.09300000E-008	8.00000000E-001	1.09250000E-008	
-1.12450000E-008	8.40000000E-001	1.13100000E-008	
-1.16800000E-008	8.80000000E-001	1.16350000E-008	
-1.19350000E-008	9.20000000E-001	1.19600000E-008	
-1.22000000E-008	9.60000000E-001	1.22650000E-008	
-1.25800000E-008	1.00000000E+000	1.25600000E-008	

TEST RESULTS:  RES  04/28/2025  15:20:53


