ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/28/2025  15:03:14
DATE:04/28/2025
TIME:15:03:14

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU3	
MODE: SWEEP	
START:	-1	
STOP:	1	
PNTS:	51	
STEP:	0.04

DATA:  RES  04/28/2025  15:03:14

IA	VK	IK	
1.25200000E-007	-1.00000000E+000	-1.25300000E-007	
1.21800000E-007	-9.60000000E-001	-1.22150000E-007	
1.18600000E-007	-9.20000000E-001	-1.18500000E-007	
1.16000000E-007	-8.80000000E-001	-1.15700000E-007	
1.12400000E-007	-8.40000000E-001	-1.12600000E-007	
1.08150000E-007	-8.00000000E-001	-1.08200000E-007	
1.03550000E-007	-7.60000000E-001	-1.03550000E-007	
9.98800000E-008	-7.20000000E-001	-1.00140000E-007	
9.58900000E-008	-6.80000000E-001	-9.60100000E-008	
9.20920000E-008	-6.40000000E-001	-9.24950000E-008	
8.87850000E-008	-6.00000000E-001	-8.83850000E-008	
8.42880000E-008	-5.60000000E-001	-8.41680000E-008	
7.98060000E-008	-5.20000000E-001	-7.99660000E-008	
7.52550000E-008	-4.80000000E-001	-7.55320000E-008	
7.11510000E-008	-4.40000000E-001	-7.11950000E-008	
6.64110000E-008	-4.00000000E-001	-6.62980000E-008	
6.10160000E-008	-3.60000000E-001	-6.10960000E-008	
5.49700000E-008	-3.20000000E-001	-5.50640000E-008	
4.86400000E-008	-2.80000000E-001	-4.86200000E-008	
4.14150000E-008	-2.40000000E-001	-4.13660000E-008	
3.37460000E-008	-2.00000000E-001	-3.38200000E-008	
2.60600000E-008	-1.60000000E-001	-2.61300000E-008	
1.83650000E-008	-1.20000000E-001	-1.82700000E-008	
1.10200000E-008	-8.00000000E-002	-1.10150000E-008	
4.82940000E-009	-4.00000000E-002	-4.80530000E-009	
8.36990000E-011	0.00000000E+000	-8.19010000E-011	
-2.96600000E-009	4.00000000E-002	2.98540000E-009	
-4.68390000E-009	8.00000000E-002	4.76850000E-009	
-6.01630000E-009	1.20000000E-001	6.01540000E-009	
-7.04680000E-009	1.60000000E-001	7.15090000E-009	
-8.31870000E-009	2.00000000E-001	8.33190000E-009	
-9.48190000E-009	2.40000000E-001	9.58200000E-009	
-1.00160000E-008	2.80000000E-001	9.89980000E-009	
-1.08250000E-008	3.20000000E-001	1.08550000E-008	
-1.24000000E-008	3.60000000E-001	1.23450000E-008	
-1.34400000E-008	4.00000000E-001	1.33700000E-008	
-1.44950000E-008	4.40000000E-001	1.44500000E-008	
-1.57400000E-008	4.80000000E-001	1.56250000E-008	
-1.70000000E-008	5.20000000E-001	1.72550000E-008	
-1.84800000E-008	5.60000000E-001	1.85400000E-008	
-1.99700000E-008	6.00000000E-001	2.02000000E-008	
-2.09250000E-008	6.40000000E-001	2.06950000E-008	
-2.29500000E-008	6.80000000E-001	2.30200000E-008	
-2.46900000E-008	7.20000000E-001	2.45350000E-008	
-2.56300000E-008	7.60000000E-001	2.56600000E-008	
-2.72800000E-008	8.00000000E-001	2.70600000E-008	
-2.89750000E-008	8.40000000E-001	2.90550000E-008	
-3.02440000E-008	8.80000000E-001	2.99750000E-008	
-3.16650000E-008	9.20000000E-001	3.20800000E-008	
-3.35150000E-008	9.60000000E-001	3.31600000E-008	
-3.51990000E-008	1.00000000E+000	3.52990000E-008	

TEST RESULTS:  RES  04/28/2025  15:03:14


