ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/30/2025  15:10:33
DATE:04/30/2025
TIME:15:10:33

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-0.01	
STOP:	0.01	
PNTS:	11	
STEP:	0.002

DATA:  RES  04/30/2025  15:10:33

IA	VK	IK	
7.61300000E-005	-1.00000000E-002	-7.66400000E-005	
6.19780000E-005	-8.00000000E-003	-6.16540000E-005	
4.83000000E-005	-6.00000000E-003	-4.76950000E-005	
3.40100000E-005	-4.00000000E-003	-3.36750000E-005	
2.01500000E-005	-2.00000000E-003	-1.96840000E-005	
5.57000000E-006	0.00000000E+000	-5.11510000E-006	
-8.27480000E-006	2.00000000E-003	8.74930000E-006	
-1.05020000E-005	4.00000000E-003	1.05000000E-005	
-3.65490000E-005	6.00000000E-003	3.64500000E-005	
-5.13190000E-005	8.00000000E-003	5.08300000E-005	
-6.53940000E-005	1.00000000E-002	6.52860000E-005	

TEST RESULTS:  RES  04/30/2025  15:10:33


SETUP:RES2  04/30/2025  15:11:12
DATE:04/30/2025
TIME:15:11:12

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-0.1	
STOP:	0.1	
PNTS:	21	
STEP:	0.01

DATA:  RES2  04/30/2025  15:11:12

IA	VK	IK	
7.05000000E-004	-1.00000000E-001	-7.05090000E-004	
6.35120000E-004	-9.00000000E-002	-6.34460000E-004	
5.64370000E-004	-8.00000000E-002	-5.64370000E-004	
4.92990000E-004	-7.00000000E-002	-4.93470000E-004	
4.22360000E-004	-6.00000000E-002	-4.22910000E-004	
3.51250000E-004	-5.00000000E-002	-3.51460000E-004	
2.81260000E-004	-4.00000000E-002	-2.80900000E-004	
2.10400000E-004	-3.00000000E-002	-2.10300000E-004	
1.40300000E-004	-2.00000000E-002	-1.39350000E-004	
6.88250000E-005	-1.00000000E-002	-6.94540000E-005	
-3.37940000E-007	0.00000000E+000	4.28090000E-007	
-7.15550000E-005	1.00000000E-002	7.23530000E-005	
-1.42750000E-004	2.00000000E-002	1.43050000E-004	
-2.12700000E-004	3.00000000E-002	2.13250000E-004	
-2.84200000E-004	4.00000000E-002	2.83600000E-004	
-3.54950000E-004	5.00000000E-002	3.55500000E-004	
-4.24850000E-004	6.00000000E-002	4.25160000E-004	
-4.96510000E-004	7.00000000E-002	4.95850000E-004	
-5.67170000E-004	8.00000000E-002	5.67050000E-004	
-6.37200000E-004	9.00000000E-002	6.37200000E-004	
-7.08400000E-004	1.00000000E-001	7.07720000E-004	

TEST RESULTS:  RES2  04/30/2025  15:11:12


