ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\res.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:RES  04/30/2025  15:20:13
DATE:04/30/2025
TIME:15:20:13

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-0.01	
STOP:	0.01	
PNTS:	11	
STEP:	0.002

DATA:  RES  04/30/2025  15:20:13

IA	VK	IK	
1.29400000E-006	-1.00000000E-002	-1.29550000E-006	
1.03550000E-006	-8.00000000E-003	-1.02250000E-006	
7.67440000E-007	-6.00000000E-003	-7.72530000E-007	
5.10340000E-007	-4.00000000E-003	-5.01200000E-007	
2.30700000E-007	-2.00000000E-003	-2.29190000E-007	
-3.57050000E-008	0.00000000E+000	2.33300000E-008	
-1.05000000E-007	2.00000000E-003	1.04970000E-007	
-5.39350000E-007	4.00000000E-003	5.54250000E-007	
-8.02130000E-007	6.00000000E-003	8.24830000E-007	
-1.05010000E-006	8.00000000E-003	1.04990000E-006	
-1.35950000E-006	1.00000000E-002	1.35550000E-006	

TEST RESULTS:  RES  04/30/2025  15:20:13


SETUP:RES2  04/30/2025  15:20:32
DATE:04/30/2025
TIME:15:20:32

CONDITIONS:

ID:	A	
UNIT:	SMU1	
MODE: CONST	
VALUE:	0

ID:	K	
UNIT:	SMU2	
MODE: SWEEP	
START:	-0.1	
STOP:	0.1	
PNTS:	21	
STEP:	0.01

DATA:  RES2  04/30/2025  15:20:32

IA	VK	IK	
1.32900000E-005	-1.00000000E-001	-1.32750000E-005	
1.19600000E-005	-9.00000000E-002	-1.19600000E-005	
1.06100000E-005	-8.00000000E-002	-1.06200000E-005	
9.28670000E-006	-7.00000000E-002	-9.29000000E-006	
7.95490000E-006	-6.00000000E-002	-7.96190000E-006	
6.62190000E-006	-5.00000000E-002	-6.63400000E-006	
5.28950000E-006	-4.00000000E-002	-5.29740000E-006	
3.95840000E-006	-3.00000000E-002	-3.97140000E-006	
2.62400000E-006	-2.00000000E-002	-2.63340000E-006	
1.28950000E-006	-1.00000000E-002	-1.29150000E-006	
-3.70750000E-008	0.00000000E+000	3.17900000E-008	
-1.37200000E-006	1.00000000E-002	1.36200000E-006	
-2.69700000E-006	2.00000000E-002	2.70400000E-006	
-4.02050000E-006	3.00000000E-002	4.02800000E-006	
-5.35190000E-006	4.00000000E-002	5.34840000E-006	
-6.69900000E-006	5.00000000E-002	6.69550000E-006	
-8.02100000E-006	6.00000000E-002	8.03130000E-006	
-9.35000000E-006	7.00000000E-002	9.35230000E-006	
-1.05010000E-005	8.00000000E-002	1.05050000E-005	
-1.20250000E-005	9.00000000E-002	1.20250000E-005	
-1.33400000E-005	1.00000000E-001	1.33450000E-005	

TEST RESULTS:  RES2  04/30/2025  15:20:32


